date,Time,deployment,endpoint,testExecutionTime,Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
1112,20,ecs,prime,3600,,Aggregated,1999,0,56,511.55427154827834,26.344833000166545,28602.569553999958,4.970985492746373,0.5558589088519403,0.0,56,110,130,140,230,490,10000,13000,28000,29000,29000
NA,NA,ecs,prime,60,,Aggregated,98,0,220.0,751.6764515003532,35.36979202181101,17124.0472169884,4.979591836734694,1.655747112284933,0.0,220,310,330,390,1800,1800,16000,17000,17000,17000,17000
NA,NA,ecs,prime,60,,Aggregated,281,6,200.0,947.9343539002986,31.299833994125947,30024.50163901085,4.893238434163701,4.753448377218876,0.10149711837478029,200,260,270,290,380,1300,30000,30000,30000,30000,30000
NA,NA,ecs,prime,60,,Aggregated,392,73,160.0,437.81848987203614,19.951875001424924,25947.390387009364,26.785714285714285,7.995467478258321,1.4889518518185139,160,170,200,230,260,290,1600,17000,26000,26000,26000
1112,20,ecs,prime,3600,,Aggregated,1999,0,56,511.55427154827834,26.344833000166545,28602.569553999958,4.970985492746373,0.5558589088519403,0.0,56,110,130,140,230,490,10000,13000,28000,29000,29000
1012,20,ecs,prime,3600,,Aggregated,4781,27,76,895.4687578880931,27.371459000278264,33037.6209729875,4.9508471031165024,1.3300323688778308,0.007511163764840291,76,150,280,380,1900,3300,11000,20000,32000,33000,33000
1012,18,eks,camelcase,3600,,Aggregated,1000,0,51,57.467963765375316,29.78079198510386,198.92312501906417,53.476,0.2805776844244273,0.0,51,57,63,68,84,94,110,150,200,200,200
1012,16,eks,prime,3600,,Aggregated,1000,5,83,326.4318470598373,37.10383299039677,14405.940922995796,5.699,0.2804724909315185,0.0014023624546575923,83,95,110,150,350,1500,4600,6100,14000,14000,14000
1112,20,eks,prime,3600,,Aggregated,2000,17,71,319.7940259339998,29.70966699967903,18249.447300000156,6.2055,0.5583005898495946,0.004745555013721554,71,87,100,130,280,1400,4800,6200,17000,18000,18000
1012,20,eks,prime,3600,,Aggregated,4974,21,69,575.5247925947251,24.399459012784064,18750.295133999316,5.58604744672296,1.382150660775292,0.005835376734274454,70,120,270,370,1900,3200,5800,7200,13000,19000,19000
1012,18,lambda,camelcase,3600,,Aggregated,1000,0,110.0,144.31961969583062,47.79112499090843,3366.700626007514,54.846,0.2805727625629557,0.0,110,120,130,140,160,170,190,3000,3400,3400,3400
1012,16,lambda,prime,3600,,Aggregated,1000,24,690.0,1854.8210547797207,429.33766698115505,29552.635222004028,103.518,0.2804824021616409,0.006731577651879382,690,770,800,840,1200,9300,29000,29000,30000,30000,30000
1112,20,lambda,prime,3600,,Aggregated,1973,47,680.0,1753.1330359386723,344.520583999838,29596.955138999987,700.5281297516473,0.5481016483821414,0.013056653560040873,680,740,780,820,920,9200,29000,29000,29000,30000,30000
1012,20,lambda,prime,3600,,Aggregated,4516,101,1300.0,2539.204053674951,231.65416700067,33695.88514100178,336.01173604960144,1.2548610052647606,0.028064871906939952,1300,1800,2300,2600,3500,9400,29000,29000,32000,34000,34000
1112,21,ecs,prime,300,,Aggregated,1392,27,150.0,1662.5402417629473,33.939291000933736,32158.39243099981,4.902298850574713,4.652800612178179,0.0902482877362147,150,200,290,340,1500,10000,30000,30000,32000,32000,32000
1112,21,eks,prime,300,,Aggregated,2692,132,78,597.2916017295623,22.248957999181584,30150.401097998838,11.255572065378901,8.97516077529665,0.44008960710964257,78,110,140,170,330,1600,7300,19000,30000,30000,30000
1112,21,lambda,prime,300,,Aggregated,1812,33,630.0,1556.1722598360977,359.17245900054695,30815.301055999953,787.8934878587196,6.053195992201398,0.11024032436128374,630,720,780,840,1500,4200,18000,29000,31000,31000,31000
